index,ranking,maats,zero_shot,single_agent
132,"maats,single_agent,zero_shot","你掉入了一个地下洞穴,里面挤满了数百只沸腾的Repnid生物。","爬行动物已经在地表下挖掘隧道,你掉入了一个洞穴中,里面有数百只爬行动物的沸腾的身体。","你掉入了一个洞穴,里面有数百只沸腾的Repnid生物。"
133,"single_agent,maats,zero_shot","几对尖牙注入了致命毒液,Dyskra的空气污染了你的肺部,结局迅速而致命。","结局迅速,几对尖牙注入致命毒液,Dyskra的空气污染你的肺部。","你的生命将迅速结束,数对尖牙注入致命毒液,Dyskra的空气也污染了你的肺部。"
134,"maats,zero_shot,single_agent","八眼的Repnids似乎在静静地注视着你,但它们一动不动,即使你缓缓走向它们。","八眼的Repnids似乎在观察着你,但他们没有向你移动,事实上当你缓慢地走向他们时,他们保持静止不动。","八眼的生物似乎在观察着你,但它们没有向你移动,事实上当你缓慢地走向它们时,它们保持静止不动。"
135,"single_agent,maats,zero_shot","你决定再次接触太危险,于是返回到你的飞船上,但这次经历使你的思维变得清晰,此前你跳入未来后一直处于困惑状态。","你决定再次建立联系会很危险,于是返回到你的飞船上,但这次经历使你的思维变得清晰,此前你跳入未来后一直处于困惑之中。","你决定不再建立联系,因为这很危险,于是返回到你的飞行器上,但这次经历使你的思维变得清晰,此前你跳入未来后一直处于困惑之中。"
136,"maats,single_agent,zero_shot",我开始编织一件新的披肩。,我开始了一件新的披肩。,我开始编织一件新的披肩。
137,"zero_shot,single_agent,maats","我正在使用一个类似的钩针,采用与之前相同的双钩针图案。","我正在使用一个H钩,采用与之前相似的双钩针图案。","我正在使用一个H形钩针,采用与之前类似的双钩针图案。"
138,"maats,zero_shot,single_agent","文学课的仇恨更甚,我很喜欢读书。",文学课的仇恨更加严重:我热爱阅读。,我很喜欢阅读文学课的内容。
139,"zero_shot,single_agent,maats",人类将在5天内结束。,人类将在5天内走向终结。,人类将在5天内离开。
140,"single_agent,zero_shot,maats",What do people think about it?,人们会怎么想它?,人们会怎么看这件事?
141,"maats,single_agent,zero_shot","在午休时回到家里,看到这个摆放在外面。","在午休时回到家里,看到这个坐在外面 uwu。","我在午休时回到家,看到这个东西坐在外面。"
142,"maats,single_agent,zero_shot","希望我能把它带回公司,以便进行更多的配置。",希望我能把它带回工作中设置更多。,"我希望能把它带回公司,好在那里进行更多的设置和配置。"
143,"zero_shot,single_agent,maats",《Heartstopper》我终于看完了。,所以我终于看了《心动》,所以我終於看了《心動》
144,"zero_shot,single_agent,maats","但重要的是要解决问题,而不是找借口,尤其是在生产环境中,当主管需要变更时。","但是重要的是不要为问题找借口,而是直接解决它们,特别是在生产环境中,当您的主管需要进行更改时。","但重要的是要直接解决问题,尤其是在生产环境中,当主管需要进行更改时。"
145,"single_agent,zero_shot,maats","好的批评是为了快速解决问题,而不是针对你的能力。","好的批评是为了快速纠正问题,并不针对你的能力。","好的批评是为了快速纠正问题,而不是针对你的能力。"
146,"zero_shot,single_agent,maats",这些根被隐藏了。,这些根是隐藏的。,这些根是隐藏的。
147,"maats,single_agent,zero_shot",工作是无形的。,工作是看不见的。,工作是不可见的。
148,"single_agent,maats,zero_shot","他等到在宿舍的黑暗中,才拿出纸条,在遮光窗帘透进来的一束光线下读了它。","他等到在宿舍的黑暗中,才拿出那张纸条,在遮光窗帘透进来的一束光线中读了它。","他等到在宿舍的黑暗中,才拿出那张纸条,透过遮光窗帘的一束光线仔细读了它。"
149,"zero_shot,single_agent,maats","我最近结识了一些出色的新Mastodon朋友,我希望能继续保持这种良好的趋势。","我最近遇到了一些了不起的新#Mastodon朋友,我想保持这种趋势。","我最近结识了一些出色的新#Mastodon伙伴,我希望能保持这种趋势。"
150,"maats,single_agent,zero_shot"
