index,original,single_agent_translation,single_agent_improved_translation
800,"באותו מקרה היולדת התלוננה על כאבים קשים וחולשה לאחר הניתוח אולם הצוות הרפואי לא התייחס כיאות לתלונותיה ומצבה הקליני, הגיב באיחור רק לאחר שמערכות גופה החלו לקרוס, דבר שהביא לפטירתה"".","""In that case, the mother complained of severe pain and weakness after the surgery, but the medical staff did not properly address her complaints and clinical condition, responding only after a delay when her bodily systems began to fail, leading to her death.""","""In that case, the mother complained of severe pain and weakness after the surgery, but the medical staff did not properly address her complaints and clinical condition, responding with a delay only after her bodily systems began to collapse, leading to her death."""
805,"פיצוי יילוד בגין פגיעה עקב רשלנות רפואית בלידה כולל רכיבי נזק רבים, כאשר הסכומים המשמעותיים ביותר ניתנים עבור כאב וסבל, סיעוד וטיפול בשכר, הפסדי שכר ופנסיה לנפגע ואף להוריו ורכיבי נזק נוספים.","Compensation for a newborn due to injury from medical negligence during birth includes many damage components, with the most significant amounts awarded for pain and suffering, nursing and paid care, loss of wages and pension for the injured party and even their parents, and additional damage components.","Compensation for a newborn due to injury from medical negligence during birth includes many damage components, with the most significant amounts awarded for pain and suffering, nursing and paid care, loss of wages and pension for the injured party and even their parents, and additional damage components."
813,מחקר העלה כי קיים קשר בין התפתחות המחלה לנישואי קרובים •,A study found that there is a link between the development of the disease and consanguineous marriages.,A study found that there is a link between the development of the disease and consanguineous marriages.
830,"הדבר נובע בעיקר משכיחות גבוהה של נישואים בתוך המשפחה (בעיקר במגזר הבדואי) ומאלרגיות שונות, וחוסר מודעות לטיפול נכון בבעיה"".","""This is mainly due to a high prevalence of marriages within the family (especially in the Bedouin sector) and various allergies, and a lack of awareness of proper treatment for the problem.""","""This is mainly due to a high prevalence of marriages within the family (especially in the Bedouin sector), various allergies, and a lack of awareness of proper treatment for the problem."""
855,"עד כיתה ט' למד בבית הספר בכפר חורפיש, ולאחר מכן עבר לפנימייה הצבאית שבבית הספר הריאלי בחיפה.","Until ninth grade, he studied at the school in the village of Hurfeish, and then moved to the military boarding school at the Reali School in Haifa.","Until ninth grade, he studied at the school in the village of Hurfeish, and then moved to the military boarding school at the Reali School in Haifa."
861,"בשנת 2010 חבר לעמותת ""אחריי"" והתחיל להדריך קבוצה בכפר חורפיש, לאחר שדאג שהעמותה תחל לפעול בכפרים הדרוזיים כדי לעודד את בני הנוער להתגייס.","In 2010, he joined the ""Aharai"" association and began leading a group in the village of Hurfeish, after ensuring that the association would start operating in the Druze villages to encourage the youth to enlist.","In 2010, he joined the ""Aharai"" association and began leading a group in the village of Hurfeish, after ensuring that the association would start operating in the Druze villages to encourage the youth to enlist."
869,"ראוי שהוא יקבל את המקום המתאים לו"".","""It is appropriate that he receives the place suitable for him.""","""It is appropriate that he receives a suitable place for him."""
876,אך בתקשורת הערבית הוצג בדיעבד ציוד קשר שלדברי הפלשתינים הושאר על ידי הכוחות מאחור.,"However, in the Arab media, communication equipment was retrospectively presented as having been left behind by the forces, according to the Palestinians.","However, in the Arab media, communication equipment was retrospectively presented as having been left behind by the forces, according to the Palestinians."
877,"לטענת חמאס, המבצע נועד להטמנת מכשירי האזנה.","According to Hamas, the operation was intended to plant listening devices.","According to Hamas, the operation was intended to plant listening devices."
885,"מפקד כוח הלוחמים ולוחם נוסף בצוות קיבלו אף הם צל""ש.",The commander of the combat force and another team member also received a commendation.,The commander of the combat force and another combatant also received a commendation.
889,"ישראל צריכה לשאול את עצמה, שוב, אם לא נכון לשנות מדיניות מול גזרת ג'נין •","Israel needs to ask itself, again, if it is not right to change its policy towards the Jenin sector.","Israel needs to ask itself, again, if it is not right to change its policy towards the Jenin sector."
895,"עדות לכך ניתנה במהלך מבצע המעצרים שבו נהרג שלשום לוחם הימ""מ, רס""ב נעם רז ז""ל.","Evidence of this was given during the arrest operation in which Yamam fighter, Master Sergeant Noam Raz, was killed the day before yesterday.","Evidence of this was given during the arrest operation in which Yamam fighter, Master Sergeant Noam Raz, was killed two days ago."
896,"לוחמים שהשתתפו בקרב בג'נין העידו כי הם אינם זוכרים היקף כזה של ירי ואלימות - עדות לא רק לכמות האדירה של אמל""ח שיש בשטח, אלא גם לנכונות להשתמש בו.",Fighters who participated in the battle in Jenin testified that they do not remember such a scale of shooting and violence - a testament not only to the enormous amount of weapons in the area but also to the willingness to use them.,Fighters who participated in the battle in Jenin testified that they do not remember such a scale of shooting and violence—a testament not only to the enormous amount of weapons in the area but also to the willingness to use them.
901,"פעילות מבצעית היא עניין מסוכן למי שמשתתף בה, ולמי שנוכח בזירה.",Operational activity is a dangerous matter for those who participate in it and for those present at the scene.,Operational activity is a dangerous matter for those who participate in it and for those present at the scene.
906,"ממילא נראה ששום דבר לא ישכנע את המשוכנעים: העולם כבר הזדרז לגנות את ישראל מבלי שטרח לאזן זאת במילת אמפתיה לקורבנות הטרור הפלשתיני - העילה המקורית שבשמה צה""ל פועל ללא הרף בג'נין.","In any case, it seems that nothing will convince the convinced: the world has already rushed to condemn Israel without bothering to balance it with a word of empathy for the victims of Palestinian terrorism - the original reason for which the IDF operates relentlessly in Jenin.","In any case, it seems that nothing will convince the convinced: the world has already rushed to condemn Israel without bothering to balance it with a word of empathy for the victims of Palestinian terrorism—the original reason for which the IDF operates relentlessly in Jenin."
907,"כתמיד, טבעם של סיפורים כאלה לגווע.","As always, the nature of such stories is to fade away.","As always, the nature of such stories is to fade away."
911,האחריות מחייבת: לפעול להרגעת המצב.,Responsibility requires: to act to calm the situation.,Responsibility requires action to calm the situation.
919,"ח""כ עופר כסיף הוא הדוגמה האחרונה לכך; אם לא יינקטו כלפיו צעדים - לרבות העמדה לדין על תקיפת שוטר - תעודד המדינה במשתמע את נבחר הציבור הבא להקצין עוד יותר את פעולותיו.",MK Ofer Cassif is the latest example of this; if no steps are taken against him - including prosecution for assaulting a police officer - the state will implicitly encourage the next public official to further escalate their actions.,MK Ofer Cassif is the latest example of this; if no steps are taken against him - including prosecution for assaulting a police officer - the state will implicitly encourage the next public official to further escalate their actions.
921,"מכל מי ששכל ישר בראשו מצופה להתעלות מעל לכל אלה, ולפעול להרגעת המצב; אחרת, עלולה ישראל לגלוש במהירות להסלמה מול אויבים מבחוץ, וגרוע מכך - מול יריבים מבית.","Anyone with common sense is expected to rise above all this and work to calm the situation; otherwise, Israel may quickly slide into escalation with external enemies, and worse - with internal rivals.","Anyone with common sense is expected to rise above all this and work to calm the situation; otherwise, Israel may quickly slide into escalation with external enemies, and worse—with internal rivals."
928,"נוסף על כך, בין 100 ל-110 אלף פלשתינים עם היתרי עבודה נכנסים מדי יום לעבודה בישראל דרך 34 מעברים מפוקחים.","In addition, between 100,000 to 110,000 Palestinians with work permits enter Israel for work daily through 34 supervised crossings.","In addition, between 100,000 and 110,000 Palestinians with work permits enter Israel for work daily through 34 supervised crossings."
940,"לעיתים הדבר חוזר על עצמו גם בפעם השנייה, אך רק בפעם השלישית הוא נעצר, נכלא ומוגש נגדו כתב אישום בגין שהייה בלתי חוקית.","Sometimes the matter repeats itself a second time, but only on the third time is he stopped, arrested, and charged with illegal residency.","Sometimes the situation repeats itself a second time, but only on the third time is he stopped, arrested, and charged with illegal residency."
954,הוא יכול להיות אב למשפחה שנכנס לארץ לעבוד כדי להרוויח כמה שקלים ולחזור.,He could be a family man who came to the country to work in order to earn some money and return.,He could be a father of a family who came to the country to work in order to earn some money and return.
968,"חברות רשומות לא עוסקות בזה, מכיוון שאם החברה תיתפס, דינה להיסגר"".","""Registered companies do not engage in this, because if the company is caught, it is destined to be shut down.""","Registered companies do not engage in this, because if the company is caught, it is destined to be shut down."
971,"לרוב החבר'ה האלה מסיעים עם רכב מצ'וקמק כי הם יודעים שנחרים להם את הרכב אז הם מעדיפים לנסוע ברכב ישן"".","""Most of these guys drive a beat-up car because they know we'll confiscate their car, so they prefer to drive an old car.""","""Most of these guys drive a beat-up car because they know we'll confiscate their car, so they prefer to drive an old car."""
972,תיעוד: הצתת שדות במושב ציפורי,Documentation: Arson of fields in Tzipori moshav,Documentation: Arson of fields in the village of Tzipori
979,"נציין כי במוקד זה הוקם ה""שומר החדש"" בניסיון למגר את התופעה הקשה.","We note that the ""New Guardian"" was established at this center in an attempt to eradicate the severe phenomenon.","We note that the ""New Guardian"" was established at this center in an attempt to eradicate the serious phenomenon."
981,"במסגרת התרגיל המטכ""לי ""מרכבות אש"", התרעת צופרים תשמע ביום ראשון, שני ורביעי בכמה מוקדים בישראל •","As part of the IDF exercise ""Chariots of Fire,"" siren alerts will be heard on Sunday, Monday, and Wednesday in several locations in Israel.","As part of the IDF exercise ""Chariots of Fire,"" siren alerts will be heard on Sunday, Monday, and Wednesday in several locations across Israel."
999,"בפעילות הלוחמים בעיר ג'נין שבמרחב החטיבה המרחבית מנשה, נעצרו שני מבוקשים החשודים בפעילות טרור.","During the operation of the soldiers in the city of Jenin in the Menashe Regional Brigade area, two wanted individuals suspected of terrorist activity were arrested.","During the operation of the soldiers in the city of Jenin in the Menashe Regional Brigade area, two wanted individuals suspected of terrorist activity were arrested."
1029,משרד רואה חשבון יהודה ברלב לא מעוניין להגיב.,Yehuda Barlev Accounting Firm is not interested in responding.,Yehuda Barlev Accounting Firm is not interested in commenting.
1032,"גנץ התייחס בין היתר לתיעוד של אל-סייד בשבי החמאס: ""סרטון שמטרתו סחטנות – על גבה של סוגייה הומניטארית"" •","Gantz referred, among other things, to the footage of Al-Sayed in Hamas captivity: ""A video aimed at extortion - on the back of a humanitarian issue.""","Gantz referred to the footage of Al-Sayed in Hamas captivity, stating that it is ""a video aimed at extortion, exploiting a humanitarian issue."""
1036,"חמאס מחזיק בשבי את ארבעת הבנים בניגוד לחוק הבינלאומי, בניגוד למוסר.","Hamas is holding the four sons captive in violation of international law, contrary to morality.","Hamas is holding the four children captive in violation of international law, contrary to morality."
1046,"""'השלוחים החדשים', הם טרוריסטים עם מקלדת שדינם כמו לוחמי ארגוני טרור אחרים.","""The 'new emissaries' are terrorists with a keyboard whose fate is like that of other terrorist organization fighters.""",The 'new emissaries' are terrorists with a keyboard whose fate is like that of other terrorist organization fighters.
1047,"אנחנו יודעים מי הם, אנחנו פוגעים בהם ובשולחיהם, וגם היום הם על הכוונת שלנו – ולא רק במימד הקיברנטי.","We know who they are, we are targeting them and their senders, and today they are also in our sights – not just in the cyber dimension.","We know who they are, we are targeting them and their senders, and today they are also in our sights—not just in the cyber dimension."
1073,"מדריך לחימה בטרור של מג""ב עוטף ירושלים: ""הפיתוח, נותן מענה רלוונטי לאיומי הייחוס ומדמה את המציאות בשטח"" •","Border Police anti-terrorism guide for the Jerusalem envelope: ""The development provides a relevant response to the reference threats and simulates the reality on the ground.""",Border Police anti-terrorism guide for the Jerusalem area states that the development provides a relevant response to the reference threats and simulates the reality on the ground.
1081,"במסגרת התחרות, וכמענה לצורך בתרגול לוחמי מג""ב ללחימה באימון ירי בתנועה ובמתארים מסוג זה, אסף בן דויד, מדריך לחימה בטרור של מג""ב עוטף ירושלים פיתח את ""מתקן אסף"", המורכב ממטרה דינאמית, שמחוברת למוט טלסקופי עליו מורכב מנשא שניתן לרתום למדריך.","As part of the competition, and in response to the need for Border Police fighters to practice shooting in motion and in such scenarios, Asaf Ben David, a counter-terrorism instructor for the Border Police in the Jerusalem area, developed the ""Asaf Device,"" which consists of a dynamic target connected to a telescopic pole with a harness that can be attached to the instructor.","Within the framework of the competition, and in response to the need for Border Police fighters to practice shooting in motion and in such scenarios, Asaf Ben David, a counter-terrorism instructor for the Border Police in the Jerusalem area, developed the ""Asaf Device,"" which consists of a dynamic target connected to a telescopic pole with a harness that can be attached to the instructor."
1082,"משרתם המדריך את המנשא למותנו, הוא יכול לתרגל את הלוחם שעומד לפניו על ידי שליטה והזזת המטרה לצדדים וטווחים שונים.","Their servant guides the carrier to our waist, he can train the warrior standing before him by controlling and moving the target to different sides and ranges.","The servant guides the carrier to the waist, and he can train the warrior standing before him by controlling and moving the target to different sides and ranges."
1091,מתניהו אנגלמן התריע בשבוע הסייבר הבינלאומי מפני חוסר המוכנות של ישראל לתקיפות פצחנים •,Matanyahu Englman warned at the International Cyber Week about Israel's lack of preparedness for hacker attacks.,Matanyahu Englman warned at the International Cyber Week about Israel's lack of preparedness for hacker attacks. •
1109,"במקביל לאימונים האינטנסיביים עם הנבחרת, בלייזר עסק בשבוע האחרון גם בעתידו, עד שחתם לשנתיים בהפועל ירושלים.","In parallel with the intensive training with the national team, Blazer also dealt with his future last week, until he signed for two years with Hapoel Jerusalem.","In parallel with the intensive training with the national team, Blazer also dealt with his future last week, until he signed for two years with Hapoel Jerusalem."
1112,"לא היית בנבחרת ארבע שנים, עד כמה אתה שמח לחזור, ועד כמה אתה רוצה לשחק בשני המשחקים הקרובים?","You weren't on the team for four years, how happy are you to return, and how much do you want to play in the next two games?","You weren't on the team for four years; how happy are you to return, and how much do you want to play in the next two games?"
1113,"""קודם כל, אני רוצה ליהנות בנבחרת ואני בא בגישה של לתרום בכל מה שאני יכול, אם זה מהניסיון שלי ואם זה על המגרש.","""First of all, I want to enjoy being on the team, and I come with the approach of contributing in any way I can, whether it's from my experience or on the field.""","First of all, I want to enjoy being on the team, and I come with the approach of contributing in any way I can, whether it's from my experience or on the field."
1123,ברגע שהרגשתי חיבור עם ההנהלה ועם המאמן הבנתי שזה המקום הנכון בשבילי.,"The moment I felt a connection with the management and the coach, I realized this is the right place for me.","The moment I felt a connection with the management and the coach, I realized this is the right place for me."
1128,"אני בטוח שתהיה קבוצה מחויבת ומהנה ורציתי להיות חלק מזה"".","""I am sure it will be a committed and enjoyable group, and I wanted to be a part of it.""","""I am sure it will be a committed and enjoyable group, and I wanted to be a part of it."""
1160,רז אדם עשוי להיות מושאל לעירוני נס ציונה •,Raz Adam may be loaned to Ironi Nes Ziona.,Raz Adam may be loaned to Ironi Nes Ziona •
1167,"במכבי ת""א הודיעו: נובאטוס מירושי נמכר לזולטה הבלגית",Maccabi Tel Aviv announced: Novatus Miroshi has been sold to Belgian side Zulte.,Maccabi Tel Aviv announced: Novatus Miroshi has been sold to Belgian club Zulte.
1197,"הקבוצה של אריאל בית הלחמי חיברה ניצחון שלישי ברצף, הפעם מרשים במיוחד •","Ariel Beit Halachmi's team secured a third consecutive victory, this time particularly impressive.","Ariel Beit Halachmi's team secured a third consecutive victory, this time particularly impressive. •"
1221,אלה שהפכו לשואבי מים ומנופפי מגבות במשחקים באירופה.,Those who became water carriers and towel wavers in games in Europe.,Those who became water carriers and towel wavers at games in Europe.
1276,לפני המשחק מנהל הקבוצה עמי ביטון נכנס לחדר ההלבשה ונשא דברים מרגשים בפני השחקנים.,"Before the game, the team manager Ami Biton entered the locker room and delivered an emotional speech to the players.","Before the game, the team manager Ami Biton entered the locker room and delivered an emotional speech to the players."
1317,אין פגיעה בחשיבה הביקורתית.,There is no impairment in critical thinking.,There is no impairment of critical thinking.
1339,"על פי שכלול נתוני המחקר, 84% מהקרקעות המיועדות לחקלאות בעולם יחוו מחסור כבד במי גשמים.","According to the analysis of the research data, 84% of the lands designated for agriculture in the world will experience severe rainwater shortages.","According to the analysis of the research data, 84% of the lands designated for agriculture worldwide will experience severe rainwater shortages."
1364,עמלנו חודשים רבים להבאת בסיס להתקנת הסיבים וכעת החזון הופך למציאות.,"We worked for many months to lay the foundation for the installation of the fibers, and now the vision is becoming a reality.","We worked for many months to lay the foundation for the installation of the fibers, and now the vision is becoming a reality."
1376,יש קשר בין רמות הנוגדנים שמפתחים לתופעות הלוואי?,Is there a connection between the levels of antibodies developed and the side effects?,Is there a connection between the levels of antibodies developed and the side effects?
1388,יש בכלל אפשרות להעריך חוזק של מערכת חיסון?,Is it even possible to assess the strength of an immune system?,Is it even possible to assess the strength of an immune system?
1429,"ובכן, מה דעתכם לצאת לסיורים חינמיים בעקבות גיבורי הסדרות האהובות של נטפליקס?","So, what do you think about going on free tours following the beloved Netflix series heroes?","So, what do you think about going on free tours following the heroes of the beloved Netflix series?"
1452,"המחירים השתנו, תנאי הכבודה כבר לא אותו הדבר וישראלים רבים מופתעים כשהם מגיעים לנמל התעופה ומגלים שהם צריכים להוסיף סכומים גבוהים עבור מזוודות שחשבו שכלולות במחיר.","The prices have changed, the baggage conditions are no longer the same, and many Israelis are surprised when they arrive at the airport and discover that they need to pay high amounts for suitcases they thought were included in the price.","The prices have changed, the baggage conditions are no longer the same, and many Israelis are surprised when they arrive at the airport and discover that they need to pay high fees for suitcases they thought were included in the price."
1471,בישראייר המחיר לא כולל כבודה.,"In Israir, the price does not include luggage.","In Israir, the price does not include baggage."
1484,"הזמנה של מזוודה נוספת יכולה לעלות בין 90-150 דולרים לכיוון אם תעשו זאת בנמל התעופה, בהזמנה מראש המחיר מעט זול יותר.","Ordering an additional suitcase can cost between 90-150 dollars per direction if you do it at the airport; with advance booking, the price is slightly cheaper.","Ordering an additional suitcase can cost between 90-150 dollars per direction if you do it at the airport, with advance booking, the price is slightly cheaper."
