index,original,translated,locale_convention_annotation
329,※ティシューは水に溶けにくいため、水洗トイレには流さないでください。,"Please do not flush tissues down the water-flushing toilet, as they do not dissolve easily in water.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `※` cause it to be malformed."
331,※引火の原因になりますので、火気の近くに置かないでください。,Do not place it near open flames as it may cause ignition.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains an extra whitespace within the escaped HTML character `&gt;`, making it malformed."
334,プロユーザーにも安心してご使用いただける品質の、弱粘着タイプ養生テープです。,It is a low-tack masking tape that can be used with confidence by professional users as well.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, which makes it malformed."
339,手で簡単にカットできる養生用ポリエチレンクロステープで耐候性・耐水性に優れています。,The polyethylene cross tape for protection is easy to cut by hand and has excellent weather and water resistance.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The polyethylene cross tape for protection is easy to cut by hand and has excellent weather and water resistance.

Explanation: The translation does not contain any design or markup errors. The target text is well-formed and accurately reflects the source text."
340,再はくり性が良好です。,Good repeatability.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese text ""再はくり性が良好です。"" is translated as ""Good repeatability."" without any markup errors."
341,※貼る対象物や使用環境によっては、粘着力等数値通りの値が出ない場合がございます。,"The adhesive strength and other values may not be as indicated, depending on the object to be attached and the usage environment.","MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
349,※養生後、テープを早く剥すと破断する恐れがありますので、ゆっくり剥してください。,Remove the tape slowly as there is a risk of tearing if removed too quickly.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters ""テープ"" and ""ゆっくり"" cause them to be malformed."
350,※粘着剤特有のにおいがありますので、換気の良い所でのご使用をお勧めします。,Please use the product in a well-ventilated area as it has a characteristic adhesive odor.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The characteristic adhesive odor is mentioned in the source text, but the target text does not include any markup tags to indicate this information."
351,※被着体と養生期間によっては、被着体を汚染・損傷する場合がありますので、ご使用前にお確かめください。,"The surface to be applied and the curing period may cause contamination or damage to the surface, so please check before use.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
356,従来品に比べ耐候性がアップしました。,Weatherability has been improved compared to the conventional product.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains a whitespace inserted within the escaped HTML character `&gt;`, making it malformed."
360,保管する場合は密閉することを推奨します。,It is recommended to store in a sealed container.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains a malformed HTML entity with extra whitespace: ""密閉することを推奨します。"" is translated as ""it is recommended to store in a sealed container[ ]."""
362,※一度ご使用された製品を再度ご使用にされることで、結束力不足により不具合が発生する可能性があります。,The product may malfunction due to insufficient cohesion if used again after initial use.,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The product may malfunction due to insufficient cohesion if used again after initial use.

The source text contains no markup tags, but the translation includes some markup tags that are not present in the original text, which could affect the design and layout of the content."
365,※取り付けの際には現車取り付け部に真っ直ぐ取り付け作業を行ってください。,Please install it straight onto the vehicle mounting part.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains a whitespace inserted within the escaped HTML character `取り付け部に真っ直ぐ取り`, making it malformed."
368,現在販売している商品は品質確認済になりますのでご安心してご使用下さい。,"The products currently on sale have undergone quality inspection, so please use them with confidence.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, making it malformed."
369,※当製品は交換作業を整備業者へ依頼して行う事をおすすめします。,We recommend that the replacement work be entrusted to a maintenance service provider.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters ""& gt ;"" cause them to be malformed."
370,個人で交換作業を行った場合は補償出来ない場合もございます。,"In the event that the exchange work is carried out individually, there may be cases where compensation cannot be provided.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` cause it to be malformed."
371,※ネジ寸法が各オイルフィルターで異なっている為、高さや外径などが同じフィルターに見えても取り付け前に再度、車種とネジ寸法をご確認ください。,"The screw dimensions vary for each oil filter, so even if the height and outer diameter appear to be the same as the filter, please reconfirm the vehicle model and screw dimensions before installation.","Source Japanese:
※ネジ寸法が各オイルフィルターで異なっている為、高さや外径などが同じフィルターに見えても取り付け前に再度、車種とネジ寸法をご確認ください。

Translation English:
The screw dimensions vary for each oil filter, so even if the height and outer diameter appear to be the same as the filter, please reconfirm the vehicle model and screw dimensions before installation.

MQM annotations:
design and markup errors:
No errors found."
373,※わずかな違いでも大きなトラブルになる場合がございます。,There may be cases where even a slight difference can lead to a major problem.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed.

The translation provided is:
""送付先住所[ ]形式:都道府県[& gt ;]市区町>村[& gt ;]番地""

The source text is:
""※わずかな違いでも大きなトラブルになる場合がございます。""

The translation contains a markup error where the HTML entity `&gt;` has extra whitespaces inserted, making it malformed. This is a minor design and markup error as it does not significantly impact the overall understanding of the content."
378,白メリヤスウエス 中古生地,"White knitted fabric, used.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The target text contains an extra whitespace within the escaped HTML character for the word ""used"".

The annotated translation is as follows:

White knitted fabric, used[]."
380,ウエス製品の中で優れた製品です。,It is an excellent product among Ues products.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese word ""ウエス"" is not properly formatted in the English translation. It should be written as ""Ues"" without any special formatting."
382,カット済。,Cut.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese source text ""カット済。"" has been translated to ""Cut."" in English, but the translation does not contain any markup tags or formatting issues."
390,※用途以外に使用しないでください。,Do not use for purposes other than intended.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character ""&gt;"" contains an extra whitespace, making it malformed."
393,ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Avoid using chemical products as they may cause color fading.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` causing it to be malformed."
395,食品に触れる用途には使用しないでください。,Do not use for applications that come into contact with food.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The target text contains a malformed HTML entity with extra whitespace: ""食品に触れる用途には使用しないでください[ ]。"""
398,※ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Please avoid using chemical products as they may cause color fading.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
399,ハンドクリーナー 工業用 オレンジエキス保湿成分配合 スクラブ入り,"Hand cleaner, industrial, with orange extract moisturizing ingredients, with scrub.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
409,異物感が残る場合は、眼科医にご相談ください。,"If you continue to feel a foreign body sensation, please consult an ophthalmologist.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The target text contains a malformed HTML entity with extra whitespace: ""眼科医にご相談ください[ ]."""
421,※使用後の本製品の廃棄は、お住まいの各自治体で定められたゴミ廃棄方法に従ってください。,Please dispose of this product after use according to the waste disposal methods specified by your local municipality.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
422,※袋を閉じる際は結束バンドでしっかり結んでください。,Please securely tie the bag closed with a cable tie.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The cable tie symbol (結束バンド) in the source text is not properly represented in the English translation."
428,※本来の用途以外には使用しないでください。,Do not use for purposes other than the original intended use.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, making it malformed."
434,※フタが開けにくい際はフタを少し潰す様に押すと開けやすくなります。,The lid can be opened more easily by pressing it down slightly as if flattening it.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The lid can be opened more easily by pressing it down slightly as if flattening it.

The source text contains a note about how to open the lid more easily, but the translation does not include any special formatting or markup to indicate that this is a note or instruction, unlike the source text which uses the ""※"" symbol to denote a note."
435,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of the contents, cleaning waste liquid, or containers, please entrust it to a specialized waste disposal company that has obtained permission from the prefectural government.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
438,透明度があり加工後も封入物の文字をクッキリ読めます。,"The text translates to:

""It has transparency and the text of the encapsulated material can be clearly read even after processing.""","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The text ""クッキリ"" contains an extra whitespace within the emoji format, which is not present in the source text."
439,※機器には接着加工してあるシール部分から挿入してください。,Please insert from the adhesive-processed seal portion of the device.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `※` and `>` cause them to be malformed.

The translation is:
""Please insert from the adhesive-processed seal portion of the device.""

The source Japanese text is:
""※機器には接着加工してあるシール部分から挿入してください。""

The design and markup error in the translation is the presence of whitespaces within the HTML entities, which makes them malformed. This is a minor error as it does not significantly impact the overall understanding of the content."
443,※一度加工したシートは再生不能となります。,The sheet once processed becomes irreparable.,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The sheet once processed becomes irreparable.

The translation contains a markup error where the greater-than symbol `>` is not properly escaped as `&gt;`. This disrupts the visual integrity of the content and makes it appear as if there is an incomplete HTML tag."
450,※工業用の薬品やアルコール、石油製品などには絶対に使用しないで下さい。,"Do not use for industrial chemicals, alcohol, petroleum products, or the like.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
451,※熱湯は入れないで下さい。,Do not pour in hot water.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese source text contains a line break symbol ""※"" which is not properly represented in the English translation."
455,中身が漏れる恐れがございます。,The contents may leak.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The contents of the target text do not match the source text, as the escaped HTML character `&gt;` is not properly formatted.

The correct translation should be:
""There is a risk of the contents leaking."""
459,店頭でフックなどに吊り下げることができる便利な穴付きです。,It has a convenient hole that can be hung on hooks or the like at the store counter.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains a malformed HTML entity with extra whitespace, e.g., ""[ ]""."
460,フック用穴と本体の間はミシン目入りなので、フックに掛けて本体を引っ張れば穴の下から切れて使える構造になっています。,"The space between the hook hole and the main body is perforated, so you can hook it and pull the main body to cut it from the bottom of the hole, making it usable.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The space between the hook hole and the main body is perforated, so you can hook it and pull the main body to cut it from the bottom of the hole, making it usable.

The translation contains a minor markup error where the HTML entity `&gt;` is not properly formatted, with an extra space inserted between the `&` and `gt;` characters. This makes the HTML entity malformed and not properly rendered."
461,表面にエンボス加工入り。,Embossed surface.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The embossed surface is not indicated in the target text, which differs from the source."
464,※幼児や子供がかぶって遊ぶと窒息などの危険がありますのでご注意ください。,Please be careful as there is a risk of suffocation if infants or children play by putting it over their heads.,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The escaped HTML characters for the symbol "">"" are malformed, containing extra whitespaces."
465,※高温多湿を避け、火の気のない場所で保管してください。,"Keep in the place away from high temperature and high humidity, and away from fire.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters ""火の気のない"" cause them to be malformed."
481,OPPテープ 透明色,Transparent color OPP tape.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
482,梱包用テープとして、価格も安く強度も強い為、良く使われています。,Packing tape is widely used because it is inexpensive and has high strength.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` causing it to be malformed."
487,※梱包用途以外の使用は避けてください。,Please avoid using for purposes other than packaging.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` cause it to be malformed."
488,貼る面を損傷する場合がございます。,May cause damage to the surface to be applied.,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The translation contains a malformed HTML entity with extra whitespace, which affects the visual integrity of the content.

The source text is:
貼る面を損傷する場合がございます。

The English translation is:
May cause damage to the surface to be applied."
492,※物性は測定値であり、規格値或いは保証値でありません。,The physical properties are measured values and not specification values or guaranteed values.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `※` and `或` cause them to be malformed."
499,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of the contents, cleaning waste liquid, or containers, please entrust it to a specialized waste disposal company that has obtained permission from the prefectural government.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
