index,reference,zero_shot_translation,single_agent_translation,improved_translation,bleu_zero_shot,bleu_single_agent,bleu_improved,meteor_zero_shot,meteor_single_agent,meteor_improved,bleurt_zero_shot,bleurt_single_agent,bleurt_improved,comet_zero_shot,comet_single_agent,comet_improved
104,"There are already many people in France who work past the age of 62 years if they have not paid in long enough to secure a deduction-free pension by the time they reach the age limit. It is barely possible for people to continue working in physically demanding professions, say the opponents of the reform. Moreover, employees want to be able to enjoy their hard-earned pension and not completely destroy their health because of their job.","Even now, many people in France work longer than until the age of 62 because they haven't contributed long enough for a full pension without deductions when they reach retirement age. Opponents of the reform argue that people in many physically demanding jobs could hardly work any longer. Furthermore, they say employees want to enjoy their well-deserved retirement and not completely wear out their health on the job.","Many people in France already work beyond the age of 62, as they have not contributed long enough to receive a full, unreduced pension upon reaching retirement age; opponents of the reform argue that those in many physically demanding jobs could scarcely work longer, and employees, they say, want to enjoy their well-deserved retirement and not completely wear out their health on the job.","Even now, many people in France work beyond the age of 62 because they haven't contributed long enough to receive a full pension without deductions upon reaching retirement age. Opponents of the reform argue that people in many physically demanding jobs could hardly work longer. Furthermore, they say employees want to enjoy their well-deserved retirement and avoid completely wearing out their health on the job.",0.1375,0.1394,0.1319,0.3754,0.3756,0.3412,0.7024,0.7153,0.7111,0.8348,0.8212,0.8427
106,"Macron justifies the reform on the grounds that there is a looming deficit in pension funds. Since the population continues to age, employees must fund an increasing number of pensioners with their contributions. In order to maintain pension at a stable level, the population will have to work a bit more. Critics doubt the governmental calculations and advocate for the government finding other sources of money to maintain the equilibrium of the pension system.","Macron justifies the reform with a looming deficit in the pension fund. Because the population is getting older and older, employees have to use their contributions to support a growing number of pensioners. In order to keep the pension amount stable, the population has to work a little more. Critics doubt the government's calculations and demand that the state find other sources of funding to keep the pension system in balance.","Macron justifies the reform with a looming deficit in the pension insurance system; as the population ages, employees have to use their contributions to support a growing number of pensioners. In order to keep the pension amount stable, people need to work longer. Critics doubt the government's calculations and demand that the state find other sources of funding to keep the pension system in balance.","Macron justifies the reform by citing a looming deficit in the pension fund. He argues that because the population is aging, employees must use their contributions to support an increasing number of retirees. To maintain stable pension amounts, the population must work somewhat longer. Critics dispute the government's calculations and insist that the state must find alternative funding sources to keep the pension system balanced.",0.235,0.1944,0.1602,0.5723,0.4942,0.3864,0.7534,0.7665,0.7438,0.8689,0.8612,0.8596
107,"However, the government wants to do more than simply fine-tune the retirement age. The increase in the payment duration required for a full pension, decided a few years ago, will be accelerated. In addition, the individual pension systems with privileges for certain professional groups will be abolished. The minimum pension will increase to approximately 1,200 euros.","However, the government doesn't just want to tinker with the retirement age. The increase in the required contribution period for a full pension, which was decided years ago, is to be accelerated. In addition, individual pension systems with privileges for certain professional groups are to be abolished. The minimum pension is to be increased to around 1200 euros.","However, the government plans to adjust not only the retirement age, but also to accelerate the previously decided increase in the required contribution period for a full pension. Furthermore, individual pension systems that privilege specific professional groups will be abolished, and the minimum pension will increase to approximately 1200 euros.","However, the government wants to adjust more than just the retirement age. The increase in the required contribution period for a full pension, decided years ago, is to be accelerated. Furthermore, individual pension systems with privileges for certain professional groups are to be abolished, and the minimum pension is to be increased to around 1200 euros.",0.4688,0.2692,0.4466,0.6468,0.4844,0.6371,0.7453,0.745,0.7749,0.8326,0.836,0.8492
108,"Pension reform is one of the most important projects for President Macron. An initial attempt to implement the reform during the coronavirus pandemic was aborted, and even back then, there were massive demonstrations and strikes. Numerous presidents before Macron made efforts to reform the French pension system with varying levels of success - widespread demonstrations and strikes were all but assured.","Pension reform is considered one of President Macron's most important projects. During the Corona pandemic, an initial attempt to implement the reform was abandoned, even then there were massive protests and strikes. Many presidents before Macron had tried with varying degrees of success to reform the French pension system - broad protest and strikes were certain for all of them.","President Macron considers pension reform one of his most important projects. During the corona pandemic, an initial attempt to implement the reform was abandoned, and even then, it faced massive protests and strikes. Many presidents before Macron had tried with varying degrees of success to reform the French pension system, all of whom faced widespread protests and strikes.","Pension reform is considered one of President Macron's most important projects. An initial attempt to implement the reform was abandoned during the COVID-19 pandemic, and even then, there were massive protests and strikes. Many presidents before Macron had tried with varying degrees of success to reform the French pension system – widespread protest and strikes were certain for all.",0.2819,0.259,0.3724,0.652,0.5472,0.7028,0.7863,0.7612,0.76,0.855,0.8552,0.8561
113,"Calm, high-pressure weather is expected in Germany until at least midweek. ""If we look at the weather maps, a massive high-pressure system directly over Central Europe is immediately apparent,"" explains meteorologist Markus Übel from the German Weather Service in Offenbach on Saturday. ""Admittedly, this high will move slightly to the east during the course of the next week. However, it will continue to determine the weather in Germany.""","In Germany, calm high-pressure weather is expected until at least the middle of the week. ""Looking at the weather maps, a powerful high-pressure area directly over Central Europe immediately catches the eye,"" explains meteorologist Markus Übel from the German Weather Service in Offenbach on Saturday. ""Although this high shifts slightly eastward over the course of next week, it will continue to determine the weather in Germany.""","In Germany, calm high-pressure weather is expected until at least the middle of the week. ""Looking at the weather maps, a powerful high-pressure area right over Central Europe immediately catches the eye,"" explains meteorologist Markus Übel of the Deutschen Wetterdienst in Offenbach on Saturday. ""Although this high will shift slightly eastward during the next week, it will continue to dominate the weather in Germany.""","In Germany, calm high-pressure weather is expected at least until midweek. ""Looking at the weather maps, a powerful high-pressure area directly over Central Europe immediately catches the eye,"" explains meteorologist Markus Übel from the German Weather Service in Offenbach on Saturday. ""Although this high shifts slightly eastward over the course of next week, it will continue to determine the weather in Germany.""",0.517,0.3795,0.5098,0.719,0.6364,0.7065,0.7799,0.7525,0.7876,0.849,0.8502,0.8498
114,"However, calm, high-pressure weather in winter does not necessarily also mean sunny weather, says Übel. ""This type of high may even be quite nasty and cover the people living in the lowlands in dreary, dense fog for days, while the higher mountain slopes are covered in nothing but sunshine.""","However, calm high-pressure weather in winter doesn't necessarily mean sunny weather, says Übel. ""Such a high can even be quite nasty and bring people in the lowlands days of dreary high fog grey, while there is pure sunshine in the higher altitudes of the low mountain ranges.""","However, calm high-pressure weather in winter doesn't necessarily mean sunny weather, says Übel. ""This type of high-pressure system can even be quite unpleasant, bringing people in the lowlands days of dreary grey high-altitude fog, while the higher altitudes of the low mountain range enjoy pure sunshine.""","However, calm high-pressure weather in winter doesn't necessarily mean sunny weather, says Übel. ""Such a high can even be quite nasty, bringing days of dreary high fog to people in the lowlands, while the higher altitudes of the low mountain ranges enjoy pure sunshine.""",0.325,0.3734,0.3372,0.5093,0.4578,0.4315,0.6631,0.6927,0.7431,0.8123,0.8205,0.8474
115,"Therefore, Sunday will start off with an opaque fog in most regions. According to the German Weather Service, there may also be some rain from the Erz mountain range and Thuringian Forest to Lower Bavaria. The heavy cloud cover will lift during the course of the day and sunshine will increase in frequency, mostly along the edge of the Alps, but also in the southwest and in some areas of the west. The rest of the country will remain under heavy cloud cover or heavy fog. Temperatures will reach 4 to 9 degrees, with up to 10 degrees near the Rhine.","This is how Sunday starts in most regions: foggy and gloomy. According to the DWD (German Weather Service), there might still be some rain from the Ore Mountains and the Thuringian Forest to Lower Bavaria. Especially on the edge of the Alps, but also in the southwest and partly in the west, the cloud cover will break up during the day, and the sun will appear more and more frequently. The rest of the country will remain heavily cloudy or covered in high fog. Temperatures will reach 4 to 9 degrees Celsius, around 10 degrees Celsius near the Rhine.","Sunday will begin foggy and gloomy in most regions, with some rain possible from the Ore Mountains and the Thuringian Forest to Lower Bavaria, according to the DWD. The cloud cover will break up, especially on the edge of the Alps, but also in the southwest and partly in the west, during the day, and the sun will appear more often. The rest of the country will remain heavily cloudy or covered in high fog, with temperatures reaching 4 to 9 °C, around 10 °C near the Rhine.","This is how Sunday begins in most regions: foggy and dull. According to the DWD, there may still be some rain from the Ore Mountains and the Thuringian Forest to Lower Bavaria. The cloud cover will break up during the day, especially along the Alpine foothills, but also in the southwest and partly in the west, and the sun will appear with increasing frequency. The rest of the country will remain heavily cloudy or covered by elevated fog. Temperatures will reach 4 to 9 degrees Celsius, and around 10 degrees Celsius near the Rhine.",0.406,0.296,0.3723,0.556,0.4832,0.5605,0.6858,0.6819,0.6771,0.8036,0.8093,0.8071
116,"On Monday, the gradually increasing sunshine will eat away at the dense fog again, causing it to dissipate more and more during the course of the day,"" says the meteorologist. Sunshine is expected throughout the day at the edge of the Alps, on the higher mountain slopes, and in parts of North Rhine-Westphalia, while other areas will remain covered in dense fog for some time. Daily highs will be between 5 and 9 degrees, with up to 11 degrees in the lower Rhine region, and only 3 degrees in the southeast, which will be permanently covered in fog. A weak wind will come in from various directions.","""On Monday, the gradually strengthening sun will nibble at the persistent high fog and will be able to dissolve it more and more over the course of the day,"" says the meteorologist. Sunshine is expected all day along the edge of the Alps, in the higher elevations of the low mountain ranges, and in parts of North Rhine-Westphalia; elsewhere, it will have to fight its way through the high fog cover first. The highs will be 5 to 9 degrees Celsius, around 11 degrees are expected on the Lower Rhine, while only around 3 degrees are expected in the persistent gray in the southeast. In addition, there will be a light wind from varying directions.","""On Monday, the gradually strengthening sun will increasingly erode the persistent high fog, dissolving it more and more throughout the day,"" says the meteorologist. Sunshine is expected all day along the edge of the Alps, in the higher elevations of the low mountain ranges, and in parts of North Rhine-Westphalia; elsewhere, it will have to break through the high fog cover. The highs will be 5 to 9 degrees Celsius (41 to 48 degrees Fahrenheit), around 11 degrees Celsius (52 degrees Fahrenheit) are expected in the Lower Rhine region, while only around 3 degrees Celsius (37 degrees Fahrenheit) are expected in the consistently overcast conditions in the southeast. In addition, there will be a light wind from varying directions.","""On Monday, the gradually strengthening sun will start to dissipate the persistent high fog, dissolving it increasingly throughout the day,"" says the meteorologist. Sunshine is expected all day along the edge of the Alps, in the higher elevations of the low mountain ranges, and in parts of North Rhine-Westphalia; elsewhere, the sun will have to break through the high fog cover first. The high temperatures will be 5 to 9 degrees Celsius, around 11 degrees are expected on the Lower Rhine, while only around 3 degrees are expected in the persistently gray conditions of the southeast. In addition, there will be a light wind from varying directions.",0.2916,0.2533,0.2696,0.4697,0.4432,0.4075,0.6808,0.6969,0.7022,0.7885,0.7393,0.7902
117,"Stubborn fog or dense fog may appear again in some low lying areas on Tuesday. Otherwise, the weather will be cheerful once the fog disappears. Sunshine throughout the day is forecast for the mountain slopes, large areas of North Rhine-Westphalia, and along the edge of the Alps. The temperatures will rise to between 5 and 11 degrees, depending on the amount of sunshine.","On Tuesday, in some low-lying areas, persistent fog or high fog may linger again. Otherwise, after the fog clears, the weather will be sunny. In higher elevations, in large parts of North Rhine-Westphalia (NRW), and on the edge of the Alps, the sun is predicted to shine all day. Temperatures will climb to 5 to 11 degrees Celsius, depending on sunshine.","On Tuesday, fog or high fog may be slow to dissipate again in some low-lying areas; otherwise, after the fog clears, the weather will be sunny; in higher elevations, in large parts of North Rhine-Westphalia, and on the edge of the Alps, the sun is forecast to shine all day; temperatures will climb to 5 to 11 degrees Celsius, depending on sunshine.","On Tuesday, persistent fog or high fog may again be slow to clear in some low-lying areas. Otherwise, once the fog lifts, the weather will be sunny. According to forecasts, the sun will shine all day in higher elevations, across much of North Rhine-Westphalia (NRW), and along the Alpine fringe. Depending on sunshine, temperatures will rise to between 5 and 11 degrees Celsius.",0.188,0.2273,0.2609,0.4294,0.4608,0.4462,0.7429,0.7135,0.7068,0.816,0.817,0.8185
119,The defeated favorite Sofia Goggia appeared extremely disappointed after she was disqualified during the downhill in the Alpine World Ski Championships.,Defeated top favorite Sofia Goggia expressed deep disappointment after her elimination in the downhill at the Alpine Ski World Championships.,Highly favored Sofia Goggia expressed deep disappointment after her elimination in the downhill at the Alpine Ski World Championships.,Defeated top favorite Sofia Goggia expressed deep disappointment after her elimination from the downhill race at the Alpine Ski World Championships.,0.0819,0.0431,0.0765,0.5809,0.4915,0.5469,0.7482,0.7249,0.7494,0.8409,0.8349,0.8362
121,"""I'm sad, because I was not able to bring my A-game,"" the Italian told ZDF after she straddled one of the gates and was disqualified. At least the 30-year-old was able to narrowly avoid a potentially serious fall.","""I'm sad because I didn't perform to my potential,"" the Italian woman said on ZDF after catching an edge on a gate and being eliminated. At least the 30-year-old was able to just prevent a potentially serious fall.","""I am sad because I did not perform to my potential,"" the Italian woman said on ZDF after hitting a gate and being eliminated; at least the 30-year-old was able to just prevent a potentially serious fall.","""I'm sad because I didn't perform to my potential,"" the Italian woman said on ZDF after catching an edge on a gate and being eliminated, adding that she was at least able to narrowly avoid a potentially serious fall.",0.3632,0.277,0.3168,0.5518,0.5532,0.5608,0.6627,0.6493,0.6534,0.7709,0.7778,0.769
122,"Goggia has been the dominant downhill athlete during the World Championships. She has won four of the six races of the season to date in this discipline. After being awarded a gold medal in Pyeongchang in 2018, she was awarded silver during the 2022 Winter Olympic Games in Beijing. Goggia, who is known for her risky maneuvres, will have to wait for a World Championship medal in her specialty event. She was absent from the event on her home turf at Cortina d'Ampezzo two years ago due to injury.","Goggia has been the dominant downhill skier in the World Cup for years. She has won four of the six season races in this discipline so far. After gold in Pyeongchang in 2018, she won silver at the 2022 Winter Olympics in Beijing. However, Goggia, who is known for her risky style of skiing, still has to wait for a World Championship medal in her pet event. She was absent due to injury at her home race in Cortina d'Ampezzo two years ago.","Goggia has been the dominant downhill skier in the World Cup for years, winning four of the six season races in this discipline so far. After gold in Pyeongchang in 2018, she won silver at the 2022 Winter Olympics in Beijing, but Goggia, known for her risky style of skiing, still awaits a World Championship medal in her signature event; she missed her home race in Cortina d'Ampezzo two years ago due to injury.","Goggia has been the dominant downhill skier in the World Cup for years, winning four of the six races held so far this season in this discipline. After winning gold in Pyeongchang in 2018, she took silver at the 2022 Winter Olympics in Beijing. However, Goggia, known for her risky skiing style, still awaits a World Championship medal in her signature event, having missed the competition at her home race in Cortina d'Ampezzo two years ago due to injury.",0.4553,0.326,0.3622,0.6345,0.5319,0.5591,0.6921,0.7068,0.7144,0.7933,0.7928,0.8059
128,Personal description: slim build,Physical description: slender build,Physical description: slim figure,Physical description: slender build,0.1257,0.2659,0.1257,0.7361,0.4688,0.7361,0.7502,0.7495,0.7502,0.8098,0.8792,0.8098
134,Zelensky and his ministers oppose Russian participation in the Olympics,Zelenskyy and ministers against Russia's Olympic participation.,Zelenskyy and Ministers against Russian participation in the Olympics.,Zelenskyy and ministers oppose Russia's participation in the Olympics.,0.0282,0.4111,0.29,0.1546,0.5682,0.5682,0.7033,0.7099,0.8123,0.8726,0.8844,0.9276
143,The German Ministry of the Interior also took a stand,The Federal Ministry of the Interior also takes a position.,The Interior Ministry also comments.,The Federal Ministry of the Interior is also taking a position.,0.3816,0.0296,0.2438,0.6724,0.3322,0.6284,0.694,0.5369,0.6513,0.7423,0.7466,0.7554
144,"The German Ministry of the Interior, which is responsible for sport, followed this up by explaining that it also affirmed the rejection of the participation of Russian and Belarusian athletes in Paris. ""From our perspective, there is no reason to invite Russian and Belarusian sports to return to competition. The unconditional solidarity and support of the international sporting community must apply to the Ukrainian athletes. The efforts of the IOC to once again include Russian and Belarusian athletes is the wrong way to go about it,"" shared a speaker for the Ministry of the Interior when asked by the dpa.","The Federal Ministry of the Interior, which is responsible for sports, subsequently declared that it had reaffirmed during the consultations that it rejects the participation of Russian and Belarusian athletes in Paris. ""From our point of view, there is no reason to invite Russian and Belarusian sports to return to competitions. Ukrainian athletes must continue to receive the unrestricted solidarity and support of the international sports community. The IOC's efforts to reinstate Russian and Belarusian athletes are the wrong way to go,"" a spokesman for the Interior Ministry told dpa in response to a query.","The federal ministry of the interior, responsible for sport, subsequently declared that it had reaffirmed during the consultations its rejection of the participation of Russian and Belarusian athletes in Paris. ""From our point of view, there is no reason to invite Russian and Belarusian athletes back into competition. Ukrainian athletes must continue to receive the unrestricted solidarity and support of the international sports community. The IOC's efforts to reinstate Russian and Belarusian athletes represent a misguided approach,"" a spokesman for the Interior Ministry told dpa in response to a query.","The Federal Ministry of the Interior, responsible for sports, subsequently stated that it had reiterated during the consultations its rejection of the participation of Russian and Belarusian athletes in Paris. ""From our point of view, there is no reason to invite Russian and Belarusian sportspeople to return to competition. Ukrainian athletes must continue to receive the unrestricted solidarity and support of the international sports community. The IOC's effort to reinstate Russian and Belarusian athletes is the wrong approach,"" a spokesman for the Interior Ministry told dpa in response to a query.",0.4398,0.349,0.4134,0.5276,0.4806,0.5609,0.6727,0.6527,0.6853,0.8013,0.8064,0.807
148,"""Hey, sexy butt!"" whistling at the female jester in a short, sexy costume and making suggestive remarks: All of this falls under the term ""catcalling"" (i.e. catcalling). Nothing less than a form of public, verbal, sexual harassment is hiding behind this term.","""Hey, nice ass!"" whistling after the fool in the skimpy, sexy costume and shouting suggestive remarks: All of this falls under the term ""catcalling."" Behind this term lies nothing less than a form of verbal sexual harassment in public space.","""Hey, nice ass!"" whistling after the jester in the skimpy, sexy costume and shouting suggestive remarks: All of this falls under the term *catcalling*. This term refers to verbal sexual harassment in public space.""","""Hey, nice ass!"" whistling after the woman in the skimpy, sexy costume and shouting suggestive remarks: All of this falls under the term ""catcalling."" This term describes nothing less than a form of verbal sexual harassment in public spaces.",0.3724,0.2701,0.3651,0.6241,0.433,0.5803,0.6268,0.6062,0.6488,0.8169,0.7738,0.8206
150,Half of the vehicles have been lost? USA sees that Moscow's tank inventory has been starkly reduced,Half of vehicles lost? USA see Moscow's tank inventory heavily decimated.,Half of vehicles lost? The US sees Moscow's tank stock heavily reduced.,Half of vehicles lost? The U.S. believes Moscow's tank inventory has been severely decimated.,0.2059,0.0805,0.317,0.5247,0.3826,0.5614,0.7213,0.7639,0.756,0.819,0.8351,0.8617
153,"Wallander gave no further details on the number of tanks that have been captured and destroyed, according to the U.S. estimate, during an online event held by the think tank Center for a New American Security.","Wallander, at an online event held by the think tank Center for a New American Security, did not provide further details on the number of tanks that the US estimates have been seized and destroyed.","Wallander, at an online event held by the think tank Center for a New American Security, did not provide further details on the number of tanks that the US estimates to have been seized and destroyed.","Wallander, at an online event held by the think tank Center for a New American Security, did not provide further details on the number of tanks that the U.S. estimates have been seized and destroyed.",0.5621,0.5661,0.5729,0.6801,0.7017,0.7036,0.6731,0.7349,0.7043,0.8722,0.874,0.8742
154,"Ukraine will receive battle tanks from multiple Western allies in the coming weeks. Great Britain agreed to deliver Challenger 2 battle tanks to Kyiv in March. Germany will deliver a battalion of Leopard 2 tanks to Ukraine by April in coalition with other states. The USA has also agreed to deliver a battalion of 31 Abrams battle tanks. However, their delivery is most likely to take significantly longer.","Ukraine is expected to receive battle tanks from several Western allies in the coming weeks. The UK has pledged to deliver Challenger 2 battle tanks to Kyiv by March. Germany, in a coalition with other states, intends to deliver a battalion of Leopard 2 tanks to Ukraine by April. The USA has also pledged a battalion of 31 Abrams battle tanks. However, their delivery is expected to take significantly longer.","Ukraine is expected to receive battle tanks from a number of its Western allies in the coming weeks. The UK has pledged to deliver Challenger 2 battle tanks to Kyiv by March. Germany, in a coalition with other states, intends to deliver a battalion of Leopard 2 tanks to Ukraine by April. The USA has also pledged to supply a battalion of 31 Abrams battle tanks; however, their delivery is expected to take significantly longer.","Ukraine is expected to receive battle tanks from several Western allies in the coming weeks. The UK has pledged to deliver Challenger 2 battle tanks to Kyiv by March. Germany, in a coalition with other states, intends to deliver a battalion of Leopard 2 tanks to Ukraine by April. The USA has also pledged a battalion of 31 Abrams tanks. However, their delivery is expected to take significantly longer.",0.6116,0.5262,0.5818,0.7717,0.7475,0.7374,0.804,0.8112,0.7991,0.888,0.8834,0.8866
158,Fuss over the appointment to a military position,Controversy over personnel changes in the army.,Controversy over staffing decisions in the army.,Controversy over personnel appointments in the army.,0.033,0.033,0.033,0.1266,0.1266,0.1899,0.6369,0.6478,0.7132,0.7166,0.7167,0.7591
159,"This is because the post, which would have been occupied by the former Military History Museum (MHM) Director Christian Ortner, was not advertised. The academy's staff representative, Herwig Jedlaucnik, suspects post corruption and abuse of office. Minister of Defense Klaudia Tanner (Austrian People's Party) defended the approach.","Because the position that the former director of the Museum of Military History (HGM), Christian Ortner, will hold in the future was not advertised. The staff representative of the Academy, Herwig Jedlaucnik, suspects jobbery and abuse of office. Minister of Defence Klaudia Tanner (ÖVP) defends the procedure.","Because the position to be held by Christian Ortner, the former director of the Army Museum (HGM), was not advertised, the academy's staff representative, Herwig Jedlaucnik, suspects jobbery and abuse of office, while Minister of Defence Klaudia Tanner (ÖVP, a political party) defends the procedure.","Because the position that Christian Ortner, the former director of the Museum of Military History (HGM), will hold in the future was not advertised. The staff representative of the Academy, Herwig Jedlaucnik, suspects jobbery and abuse of office. Minister of Defence Klaudia Tanner (ÖVP) defends the procedure.",0.2884,0.2844,0.2884,0.5652,0.5768,0.5652,0.6187,0.6255,0.622,0.6952,0.7247,0.6947
160,"No advertisement was necessary because the appointment was to a previously unoccupied post, according to the minister. She refused to comment on ""speculation regarding a liberal staff representative."" Ortner was let go last year after 17 years as the head of the MHM. In addition to criticism regarding the museum's handling of Austria's military history, he was also confronted with serious allegations of bullying. Tanner believes that these have been resolved.","A tender is not required because the appointment is to a previously vacant position, according to the minister. She declined to comment on ""speculation by a Freedom Party personnel representative."" Ortner was replaced last year after 17 years at the head of the HGM. In addition to criticism of the museum's handling of Austria's military past, he was confronted with serious allegations of mobbing. From Tanner's perspective, these have been cleared up.","The minister stated that a tender isn't required because the appointment fills a previously vacant position, adding she wouldn't comment on ""speculation by a Freedom Party personnel representative."" Ortner was replaced last year after 17 years as head of the HGM. Besides criticism of the museum's handling of Austria's military past, he faced serious allegations of bullying, which Tanner believes have been resolved.","A tender is not required because the appointment fills a previously vacant position, according to the minister, who declined to comment on ""speculation by a Freedom Party personnel representative."" Ortner was replaced last year after 17 years as head of the HGM. Besides criticism of the museum's handling of Austria's military past, he faced serious allegations of bullying, which Tanner believes have been resolved.",0.4318,0.317,0.3671,0.6648,0.5389,0.5484,0.6275,0.6505,0.6481,0.8158,0.8195,0.8227
161,"Jedlaucnik also doubts that Ortner is a suitable candidate. He is an expert on the First World War and wars of the monarchy, but the Institute is concerned with current issues in security policy.","Jedlaucnik also doubts Ortner's suitability in terms of content. He is an expert on the First World War and the wars of the monarchy, but the institute deals with current issues of security policy.","Jedlaucnik also doubts Ortner's suitability regarding the subject matter, as he is an expert on the First World War and the wars of the Austro-Hungarian Empire, whereas the institute addresses current security policy issues.","Jedlaucnik also questions Ortner's suitability regarding the subject matter, stating that while Ortner is an expert on the First World War and the wars of the monarchy, the institute focuses on current security policy issues.",0.5206,0.309,0.3475,0.7498,0.5946,0.6136,0.7407,0.7538,0.7235,0.8362,0.8152,0.8367
162,"The Social Democratic Party of Austria requested that Tanner explain the ""unusual procedure."" The decision suggested the ""semblance of position manipulation,"" said Robert Laimer, Speaker of Defense for the Social Democratic Party of Austria. The Neos demanded that Tanner withdraw the appointment. Douglas Hoyos, State Defense Speaker, believes that the Austrian People's Party is ""up to their ears in a cesspool of corruption."" He announced a parliamentary inquiry into the subject.","The SPÖ (Social Democratic Party) is demanding clarification from Tanner regarding the ""unusual appointment process."" The decision has the ""appearance of patronage,"" says SPÖ defense spokesman Robert Laimer. The Neos (liberal party) are calling on Tanner to withdraw the appointment. The ÖVP (People's Party) is ""still up to its neck in a swamp of corruption,"" said Douglas Hoyos, spokesman for national defense. He announced a parliamentary inquiry into the matter.","The SPÖ (Social Democratic Party of Austria) is demanding clarification from Tanner regarding the ""unusual appointment process"". The decision has the ""appearance of patronage,"" says SPÖ defence spokesman Robert Laimer. The Neos (liberal party) are calling on Tanner to withdraw the appointment. The ÖVP (Austrian People's Party) is ""still neck-deep in corruption,"" said Douglas Hoyos, spokesman for national defence. He announced a parliamentary inquiry into the matter.""","The SPÖ (Social Democratic Party) is demanding clarification from Tanner regarding the ""unusual appointment process."" According to SPÖ defense spokesman Robert Laimer, the decision ""appears to be political patronage."" The Neos (liberal party) are calling on Tanner to withdraw the appointment, while Douglas Hoyos, spokesman for national defense, stated that the ÖVP (People's Party) is ""still up to its neck in a swamp of corruption"" and announced a parliamentary inquiry into the matter.",0.2183,0.2418,0.1581,0.4227,0.4139,0.3948,0.589,0.5901,0.5978,0.7566,0.7443,0.7498
163,Carnival: First revelers brought down by the costs,Carnival: First fools buckle under costs.,Carnival: Rising costs force some revelers to scale back celebrations.,Carnival: Some revelers are already struggling with costs.,0.1304,0.0428,0.0531,0.2404,0.1829,0.1875,0.3858,0.583,0.6254,0.5629,0.743,0.7657
165,"No carnival parades have been canceled in Brandenburg. The ""Procession of Merry People"" in Cottbus, probably Eastern Germany's largest once again, will be held for the first time since the pandemic. No parades were canceled at the Swabian-Alemannic carnival either.","No carnival parades are cancelled in Brandenburg. The ""Zug der fröhlichen Leute"" (Parade of Happy People) in Cottbus, probably once again the largest in Eastern Germany, is taking place for the first time after the pandemic. Also, no parades have been cancelled for the Swabian-Alemannic Fastnacht (Carnival).","Carnival parades are not canceled in Brandenburg. The ""Zug der fröhlichen Leute"" (Festive Procession) in Cottbus, likely Eastern Germany's largest, is taking place for the first time after the pandemic. Also, the Swabian-Alemannic Fastnacht (Southern German Carnival) parades have not been canceled.","No carnival parades are canceled in Brandenburg. The ""Zug der fröhlichen Leute"" (Parade of Happy People) in Cottbus, likely the largest in Eastern Germany again, is taking place for the first time since the pandemic. Similarly, no parades have been canceled for the Swabian-Alemannic Fastnacht (Carnival).",0.2205,0.2416,0.3124,0.5428,0.4908,0.564,0.6781,0.6614,0.6931,0.7938,0.788,0.7997
179,"Steinmeier nevertheless enjoyed attending the 10-km sprint at the Biathlon World Cup in Oberhof, getting plenty of tips from Olympic champions Frank Ullrich and Peter Sendel: ""The biathlon has fascinated me ever since the Olympic Games in South Korea, when Laura Dahlmeier won gold in the first race,"" he revealed, and also praised Oberhof for its modernized sports facilities: ""The completely renovated arena is amazing and offers ideal conditions. The athletes also say that - with thanks to those who have helped out here since the World Cup was awarded."" In terms of sustainability, too, the site is now ""one step ahead"" of many others, making it ""safe for the years and even decades ahead.""","Steinmeier nevertheless enjoyed visiting the 10km sprint race at the Biathlon World Championships in Oberhof, receiving numerous tips from Olympic champions Frank Ullrich and Peter Sendel: ""Since the Olympic Games in South Korea, when Laura Dahlmeier won gold in the first race, I have been fascinated by biathlon,"" he revealed, also praising Oberhof for its modernized sports facilities: ""The completely renovated arena is magnificent and offers ideal conditions. The athletes also say that - with thanks to those who have tackled the work here since the awarding of the World Championships."" In terms of sustainability, the location is now ""one step ahead"" of many others and therefore ""secure for the next years and even decades.""","Steinmeier nevertheless enjoyed visiting the 10km sprint race at the Biathlon World Championships in Oberhof, with Olympic champions Frank Ullrich and Peter Sendel offering numerous tips: ""Since the Olympic Games in South Korea, when Laura Dahlmeier won gold in the first race, I have been fascinated by biathlon,"" he revealed, also praising Oberhof for its modernized sports facilities: ""The completely renovated arena is magnificent and offers ideal conditions. The athletes agree, expressing thanks to those who have worked diligently since the awarding of the World Championships."" In terms of sustainability, the location is now one step ahead of many others and therefore secure for the next years and even decades.""","Steinmeier nevertheless enjoyed visiting the 10 km sprint race at the Biathlon World Championships in Oberhof, receiving numerous tips from Olympic champions Frank Ullrich and Peter Sendel: ""Since the Olympic Games in South Korea, when Laura Dahlmeier won gold in the first race, I have been fascinated by biathlon,"" he revealed, also praising Oberhof for its modernized sports facilities: ""The completely renovated arena is magnificent and offers ideal conditions. The athletes say the same—thank you to those who have tackled the work here since the World Championships were awarded."" In terms of sustainability, the location is now ""one step ahead"" of many others, making it ""secure for the coming years and even decades.""",0.6101,0.4863,0.5908,0.7757,0.6764,0.7407,0.7595,0.7153,0.7449,0.8596,0.8551,0.8649
